City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
423,Kudahuvadhoo,MV,81.41,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
424,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
440,Sao Jose Da Coroa Grande,BR,78.4,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
443,Sampit,ID,87.87,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
444,Banjar,ID,85.91,broken clouds,-8.19,114.9675,The Hamsa Resort
447,Luganville,VU,85.55,few clouds,-15.5333,167.1667,The Espiritu Hotel
450,Kovvur,IN,75.45,mist,17.0167,81.7333,Hotel Rathna Palace
453,Ciudad Bolivar,VE,76.42,overcast clouds,8.1222,-63.5497,Hotel Edi
456,Mayumba,GA,76.98,overcast clouds,-3.432,10.6554,LIKWALE LODGE
470,Hobyo,SO,76.82,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
473,Acajutla,SV,77.81,broken clouds,13.5928,-89.8275,asi es
474,Martaban,MM,78.64,clear sky,16.5314,97.6111,Lu Wa Gyi Guest House
475,Norsup,VU,85.75,few clouds,-16.0667,167.3833,Nabelchel Bungalows
479,Playa Del Carmen,MX,78.82,broken clouds,20.6274,-87.0799,Hotel Kinbe
481,Malakal,SS,78.84,broken clouds,9.5334,31.6605,Nile Palace Hotel
482,Dalby,AU,86.7,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
483,Byron Bay,AU,82.51,overcast clouds,-28.65,153.6167,Backpackers Inn
489,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
493,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
495,Parana,AR,78.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
496,Ugoofaaru,MV,81.05,clear sky,5.6667,73.0,Ungoofaaru Inn
500,Soyo,AO,77.81,light rain,-6.1349,12.3689,Hotel Mpampa
506,Maningrida,AU,89.01,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
510,Nelson Bay,AU,80.65,few clouds,-32.7167,152.15,Mantra Nelson Bay
513,Alice Town,BS,75.72,light rain,25.7167,-79.3,Bimini Big Game Club Resort & Marina
527,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
528,Tucuman,AR,75.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
533,Simpang Empat,MY,87.8,scattered clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
539,Kirakira,SB,86.7,few clouds,-10.4544,161.9205,SanBiz Lodge
544,Lorengau,PG,82.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
554,Curaca,BR,80.65,light rain,-8.9903,-39.9094,Hotel Recanto Campestre
556,Port Pirie,AU,84.29,clear sky,-33.1833,138.0167,John Pirie Motor Inn
559,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
