City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
269,Campohermoso,ES,36.9357,-2.1337,43.12,44,0,9.04,clear sky
270,Ahja,EE,58.2091,27.0734,28.58,90,100,8.48,overcast clouds
271,Cabo San Lucas,MX,22.8909,-109.9124,71.06,80,0,3.44,clear sky
272,Bundaberg,AU,-24.85,152.35,84.49,70,40,13.8,scattered clouds
273,Murray Bridge,AU,-35.1167,139.2667,90.84,32,0,3.38,clear sky
274,Iranshahr,IR,27.2025,60.6848,39.54,87,0,0.0,clear sky
275,El Tocuyo,VE,9.7873,-69.7937,64.99,67,13,1.36,few clouds
276,Krasnoarmeysk,RU,51.0239,45.6969,5.07,99,86,2.98,overcast clouds
277,Half Moon Bay,US,37.4636,-122.4286,52.47,89,0,0.0,clear sky
278,Yar-Sale,RU,66.8333,70.8333,-11.92,100,99,3.02,overcast clouds
279,Pogar,RU,52.554,33.2591,23.49,85,100,10.0,snow
280,Esperance,AU,-33.8667,121.9,66.24,61,98,21.99,overcast clouds
281,Baruun-Urt,MN,46.6806,113.2792,3.02,83,52,4.47,broken clouds
282,Tasiilaq,GL,65.6145,-37.6368,32.16,93,100,25.52,light snow
283,Suleja,NG,9.1758,7.1808,68.99,32,27,3.78,scattered clouds
284,Dingle,PH,10.9995,122.6711,83.32,72,20,8.14,few clouds
285,Guadalupe Y Calvo,MX,26.1,-106.9667,40.69,63,37,4.74,scattered clouds
286,Zhigansk,RU,66.7697,123.3711,-34.83,99,100,10.25,overcast clouds
287,Mysliborz,PL,52.9238,14.8679,30.51,88,19,13.85,few clouds
288,Carahue,CL,-38.7,-73.1667,59.2,95,42,0.89,scattered clouds
289,Cayenne,GF,4.9333,-52.3333,79.09,82,0,3.0,clear sky
290,Harper,LR,4.375,-7.7169,78.8,82,85,5.48,overcast clouds
291,Havre,FR,49.5833,0.3333,43.27,74,53,20.69,broken clouds
292,Saint-Louis,SN,16.3333,-15.0,73.45,15,95,10.92,overcast clouds
293,Luderitz,NA,-26.6481,15.1594,64.62,92,91,2.93,overcast clouds
294,Novozavedennoye,RU,44.2628,43.6381,33.1,75,100,13.49,overcast clouds
295,Honiara,SB,-9.4333,159.95,84.7,75,41,8.3,scattered clouds
296,Neyshabur,IR,36.2133,58.7958,35.87,41,58,3.36,broken clouds
297,Gweta,BW,-20.1833,25.2333,69.4,81,100,11.52,overcast clouds
298,Tautira,PF,-17.7333,-149.15,84.22,76,7,5.57,light rain
299,Rosetta,EG,31.4044,30.4164,53.33,55,0,11.3,clear sky
300,Garowe,SO,8.4054,48.4845,63.75,83,0,8.34,clear sky
301,Mogadishu,SO,2.0371,45.3438,77.2,80,5,18.41,clear sky
302,Salinopolis,BR,-0.6136,-47.3561,77.38,88,100,4.36,overcast clouds
303,Kangaatsiaq,GL,68.3065,-53.4641,8.11,95,100,3.49,overcast clouds
304,Maybole,GB,55.355,-4.6803,40.24,87,75,18.41,broken clouds
305,Mount Gambier,AU,-37.8333,140.7667,74.88,39,2,7.29,clear sky
306,Ternate,ID,0.8,127.4,83.43,72,78,7.54,broken clouds
307,Kutum,SD,14.2,24.6667,64.65,26,1,7.4,clear sky
308,Margate,GB,51.3813,1.3862,39.96,79,54,4.0,broken clouds
309,Omsukchan,RU,62.5333,155.8,1.99,86,100,2.08,overcast clouds
310,Narsaq,GL,60.9167,-46.05,12.42,69,100,3.51,overcast clouds
311,Guiren,CN,33.6697,118.1889,50.0,64,59,2.98,broken clouds
312,Mudanjiang,CN,44.5833,129.6,3.4,81,39,3.67,scattered clouds
313,Santa Maria Do Para,BR,-1.3503,-47.5756,73.13,97,99,4.14,overcast clouds
314,Paamiut,GL,61.994,-49.6678,4.41,81,100,9.95,overcast clouds
315,Bilibino,RU,68.0546,166.4372,-10.19,99,56,3.62,broken clouds
316,Oyama,JP,36.3,139.8,54.9,25,5,3.83,clear sky
317,Dombarovskiy,RU,50.7587,59.5386,0.54,96,34,7.96,scattered clouds
318,Kholtoson,RU,50.2981,103.3097,4.64,86,47,3.56,scattered clouds
319,Havre-Saint-Pierre,CA,50.2334,-63.5986,6.8,65,0,14.97,clear sky
320,Gainesville,US,29.6516,-82.3248,62.67,84,0,0.0,clear sky
321,Sabzevar,IR,36.2126,57.6819,33.08,80,0,11.5,clear sky
322,Wonthaggi,AU,-38.6044,145.5913,78.37,69,57,10.67,broken clouds
323,Laguna,US,38.421,-121.4238,51.96,88,0,0.0,clear sky
